I|1488406|353232|372101|5225|0
I|1488962|372240|372240|0|2574
I|1489026|372256|372256|0|1267
I|1489878|358490|372469|7852|0
I|1491486|371576|372871|2277|0
I|1492386|373096|373096|0|6073
I|1492658|373164|373164|0|836
I|1492754|373188|373188|0|9372
I|1494158|369002|373539|7559|0
I|1495158|367260|373789|3787|0
I|1496202|374050|374050|0|9319
I|1496330|374082|374082|0|1077
I|1496534|373788|374133|9358|0
I|1496558|355208|374139|9388|0
I|1496570|374142|374142|0|4818
I|1496922|374230|374230|0|9196
I|1497314|374328|374328|0|5629
I|1497454|373110|374363|6817|0
I|1497926|372692|374481|5665|0
I|1499818|374954|374954|0|7340
I|1500554|375138|375138|0|5905
I|1500998|368926|375249|348|0
I|1501398|370118|375349|8643|0
I|1501894|372404|375473|5531|0
I|1501986|375496|375496|0|1210
I|1502354|375588|375588|0|3902
I|1503710|375602|375927|5305|0
I|1503794|375948|375948|0|3772
I|1504694|373324|376173|5482|0
I|1505846|374728|376461|9262|0
I|1508522|377130|377130|0|5387
I|1509058|377264|377264|0|369
I|1511074|377768|377768|0|7785
I|1511514|377878|377878|0|4639
I|1511546|377886|377886|0|9115
I|1511974|371446|377993|1435|0
I|1512278|375996|378069|7515|0
I|1512462|370744|378115|1141|0
I|1512506|378126|378126|0|7367
I|1512714|378178|378178|0|4679
I|1512894|375492|378223|9145|0
I|1512930|378232|378232|0|4464
I|1512946|378236|378236|0|7436
I|1513414|377222|378353|6631|0
I|1513518|377236|378379|3804|0
I|1513854|377340|378463|1204|0
I|1514330|378582|378582|0|5115
I|1514782|375134|378695|6648|0
I|1515142|351232|378785|7950|0
I|1516602|379150|379150|0|8351
I|1517490|379372|379372|0|8281
I|1517590|378604|379397|8165|0
I|1517930|379482|379482|0|1541
I|1518050|379512|379512|0|8544
I|1518306|379576|379576|0|5181
I|1518422|379288|379605|6385|0
I|1518702|376014|379675|5249|0
I|1519050|379762|379762|0|3583
I|1519290|379822|379822|0|3922
I|1519502|375636|379875|2355|0
I|1520798|379618|380199|8289|0
I|1521138|380284|380284|0|2615
I|1521746|380436|380436|0|2949
I|1522162|380540|380540|0|4571
I|1523090|380772|380772|0|2333
I|1523322|380830|380830|0|6802
